GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
book-backend,com.xin.bookbackend.security,SecurityConfig,0,80,0,0,0,19,0,6,0,6
book-backend,com.xin.bookbackend,BookBackendApplication,5,3,0,0,2,1,1,1,1,1
book-backend,com.xin.bookbackend.config,ReactRoutingForwarding.ReactRoutingPathResourceResolver,24,3,6,0,5,1,4,1,1,1
book-backend,com.xin.bookbackend.config,ReactRoutingForwarding,0,26,0,0,0,6,0,2,0,2
book-backend,com.xin.bookbackend.service,MongoUserDetailsService,0,30,0,0,0,7,0,3,0,3
book-backend,com.xin.bookbackend.service,BookService,5,121,1,1,1,31,1,8,0,8
book-backend,com.xin.bookbackend.service,UserService,0,52,0,2,0,10,0,4,0,3
book-backend,com.xin.bookbackend.exception,ApiError,15,0,0,0,1,0,3,0,3,0
book-backend,com.xin.bookbackend.exception,GlobalExceptionHandler,13,3,0,0,2,1,1,1,1,1
book-backend,com.xin.bookbackend.controller,BookController,6,128,1,1,1,27,1,8,0,8
book-backend,com.xin.bookbackend.controller,UserController,0,33,0,0,0,11,0,6,0,6
book-backend,com.xin.bookbackend.model,GoogleBook,3,57,0,2,0,9,1,4,1,3
book-backend,com.xin.bookbackend.model,MongoUserDTO,0,41,0,0,0,3,0,7,0,7
book-backend,com.xin.bookbackend.model,ImageLinks,0,9,0,0,0,1,0,2,0,2
book-backend,com.xin.bookbackend.model,GoogleBookResponse,0,9,0,0,0,1,0,2,0,2
book-backend,com.xin.bookbackend.model,VolumeInfo,0,39,0,0,0,1,0,7,0,7
book-backend,com.xin.bookbackend.model,MongoUser,0,41,0,0,0,4,0,7,0,7
book-backend,com.xin.bookbackend.model,Book,0,113,0,0,0,8,0,14,0,14
